No devices were found
Reward at iter 90624: 500.0
Reward at iter 90880: 500.0
Reward at iter 91136: 500.0
Reward at iter 91392: 500.0
Reward at iter 91648: 500.0
Reward at iter 91904: 500.0
Reward at iter 92160: 500.0
Reward at iter 92416: 500.0
Reward at iter 92672: 500.0
Reward at iter 92928: 500.0
Reward at iter 93184: 500.0
Reward at iter 93440: 500.0
Reward at iter 93696: 500.0
Reward at iter 93952: 500.0
Reward at iter 94208: 500.0
Reward at iter 94464: 500.0
Reward at iter 94720: 500.0
Reward at iter 94976: 500.0
Reward at iter 95232: 500.0
Reward at iter 95488: 500.0
Reward at iter 95744: 500.0
Reward at iter 96000: 500.0
Reward at iter 96256: 500.0
Reward at iter 96512: 500.0
Reward at iter 96768: 500.0
Reward at iter 97024: 500.0
Reward at iter 97280: 500.0
Reward at iter 97536: 500.0
Reward at iter 97792: 500.0
Reward at iter 98048: 500.0
Reward at iter 98304: 500.0
Reward at iter 98560: 500.0
Reward at iter 98816: 500.0
Reward at iter 99072: 500.0
Reward at iter 99328: 500.0
Reward at iter 99584: 500.0
Reward at iter 99840: 411.4
Reward at iter 100096: 500.0
Reward at iter 100352: 500.0
Reward at iter 100608: 500.0
Reward at iter 100864: 500.0
Reward at iter 101120: 500.0
Reward at iter 101376: 500.0
Reward at iter 101632: 464.6
Reward at iter 101888: 500.0
Reward at iter 102144: 500.0
Reward at iter 102400: 500.0
Reward at iter 102656: 500.0
Reward at iter 102912: 500.0
Reward at iter 103168: 500.0
Reward at iter 103424: 500.0
Reward at iter 103680: 500.0
Reward at iter 103936: 500.0
Reward at iter 104192: 500.0
Reward at iter 104448: 500.0
Reward at iter 104704: 500.0
Reward at iter 104960: 500.0
Reward at iter 105216: 500.0
Reward at iter 105472: 500.0
Reward at iter 105728: 500.0
Reward at iter 105984: 500.0
Reward at iter 106240: 500.0
Reward at iter 106496: 500.0
Reward at iter 106752: 500.0
Reward at iter 107008: 500.0
Reward at iter 107264: 500.0
Reward at iter 107520: 500.0
Reward at iter 107776: 500.0
Reward at iter 108032: 500.0
Reward at iter 108288: 500.0
Reward at iter 108544: 500.0
Reward at iter 108800: 500.0
Reward at iter 109056: 500.0
Reward at iter 109312: 500.0
Reward at iter 109568: 492.0
Reward at iter 109824: 435.8
Reward at iter 110080: 462.8
Reward at iter 110336: 375.0
Reward at iter 110592: 245.0
Reward at iter 110848: 466.4
Reward at iter 111104: 500.0
Reward at iter 111360: 500.0
Reward at iter 111616: 500.0
Reward at iter 111872: 500.0
Reward at iter 112128: 482.6
Reward at iter 112384: 455.8
Reward at iter 112640: 500.0
Reward at iter 112896: 500.0
Reward at iter 113152: 500.0
Reward at iter 113408: 500.0
Reward at iter 113664: 500.0
Reward at iter 113920: 500.0
Reward at iter 114176: 500.0
Reward at iter 114432: 500.0
Reward at iter 114688: 500.0
Reward at iter 114944: 500.0
Reward at iter 115200: 480.4
Reward at iter 115456: 496.2
Reward at iter 115712: 421.6
Reward at iter 115968: 500.0
Reward at iter 116224: 500.0
Reward at iter 116480: 500.0
Reward at iter 116736: 500.0
Reward at iter 116992: 500.0
Reward at iter 117248: 500.0
Reward at iter 117504: 500.0
Reward at iter 117760: 500.0
Reward at iter 118016: 500.0
Reward at iter 118272: 500.0
Reward at iter 118528: 500.0
Reward at iter 118784: 500.0
Reward at iter 119040: 500.0
Reward at iter 119296: 500.0
Reward at iter 119552: 500.0
Reward at iter 119808: 466.0
Reward at iter 120064: 500.0
Reward at iter 120320: 500.0
Reward at iter 120576: 500.0
Reward at iter 120832: 500.0
Reward at iter 121088: 500.0
Reward at iter 121344: 500.0
Reward at iter 121600: 500.0
Reward at iter 121856: 500.0
Reward at iter 122112: 500.0
Reward at iter 122368: 500.0
Reward at iter 122624: 500.0
Reward at iter 122880: 500.0
Reward at iter 123136: 500.0
Reward at iter 123392: 500.0
Reward at iter 123648: 500.0
Reward at iter 123904: 500.0
Reward at iter 124160: 500.0
Reward at iter 124416: 500.0
Reward at iter 124672: 429.2
Reward at iter 124928: 361.0
Reward at iter 125184: 311.8
Reward at iter 125440: 435.6
Reward at iter 125696: 363.4
Reward at iter 125952: 239.0
Reward at iter 126208: 198.6
Reward at iter 126464: 373.2
Reward at iter 126720: 476.6
Reward at iter 126976: 330.0
Reward at iter 127232: 262.2
Reward at iter 127488: 413.0
Reward at iter 127744: 388.0
Reward at iter 128000: 472.2
Reward at iter 128256: 404.4
Reward at iter 128512: 340.0
Reward at iter 128768: 407.4
Reward at iter 129024: 312.0
Reward at iter 129280: 391.8
Reward at iter 129536: 239.6
Reward at iter 129792: 235.6
Reward at iter 130048: 421.0
Reward at iter 130304: 500.0
Reward at iter 130560: 498.6
Reward at iter 130816: 310.2
Reward at iter 131072: 403.6
Reward at iter 131328: 415.2
Reward at iter 131584: 500.0
Reward at iter 131840: 500.0
Reward at iter 132096: 500.0
Reward at iter 132352: 500.0
Reward at iter 132608: 500.0
Reward at iter 132864: 488.8
Reward at iter 133120: 382.0
Reward at iter 133376: 298.0
Reward at iter 133632: 291.8
Reward at iter 133888: 204.8
Reward at iter 134144: 188.2
Reward at iter 134400: 374.2
Reward at iter 134656: 243.8
Reward at iter 134912: 364.4
Reward at iter 135168: 262.4
Reward at iter 135424: 206.0
Reward at iter 135680: 223.0
Reward at iter 135936: 319.8
Reward at iter 136192: 167.6
Reward at iter 136448: 136.2
Reward at iter 136704: 139.2
Reward at iter 136960: 106.6
Reward at iter 137216: 113.0
Reward at iter 137472: 132.8
Reward at iter 137728: 140.0
Reward at iter 137984: 132.8
Reward at iter 138240: 123.2
Reward at iter 138496: 144.4
Reward at iter 138752: 170.0
Reward at iter 139008: 203.0
Reward at iter 139264: 270.6
Reward at iter 139520: 352.0
Reward at iter 139776: 485.6
Reward at iter 140032: 403.2
Reward at iter 140288: 418.0
Reward at iter 140544: 331.0
Reward at iter 140800: 247.0
Reward at iter 141056: 265.6
Reward at iter 141312: 241.0
Reward at iter 141568: 272.6
Reward at iter 141824: 231.4
Reward at iter 142080: 290.8
Reward at iter 142336: 264.6
Reward at iter 142592: 265.6
Reward at iter 142848: 351.6
Reward at iter 143104: 348.8
Reward at iter 143360: 365.0
Reward at iter 143616: 435.0
Reward at iter 143872: 500.0
Reward at iter 144128: 485.8
Reward at iter 144384: 479.4
Reward at iter 144640: 301.4
Reward at iter 144896: 248.0
Reward at iter 145152: 291.6
Reward at iter 145408: 256.0
Reward at iter 145664: 229.0
Reward at iter 145920: 208.6
Reward at iter 146176: 221.2
Reward at iter 146432: 215.6
Reward at iter 146688: 240.6
Reward at iter 146944: 212.4
Reward at iter 147200: 191.8
Reward at iter 147456: 200.8
Reward at iter 147712: 194.6
Reward at iter 147968: 200.2
Reward at iter 148224: 191.2
Reward at iter 148480: 220.4
Reward at iter 148736: 232.4
Reward at iter 148992: 224.8
Reward at iter 149248: 215.6
Reward at iter 149504: 188.2
Reward at iter 149760: 184.6
Reward at iter 150016: 175.8
Reward at iter 150272: 172.6
Reward at iter 150528: 174.0
Reward at iter 150784: 194.6
Reward at iter 151040: 211.2
Reward at iter 151296: 201.2
Reward at iter 151552: 186.0
Reward at iter 151808: 170.4
Reward at iter 152064: 191.8
Reward at iter 152320: 193.0
Reward at iter 152576: 198.6
Reward at iter 152832: 218.8
Reward at iter 153088: 231.2
Reward at iter 153344: 212.8
Reward at iter 153600: 213.0
Reward at iter 153856: 196.2
Reward at iter 154112: 202.6
Reward at iter 154368: 201.2
Reward at iter 154624: 201.4
Reward at iter 154880: 189.2
Reward at iter 155136: 188.0
Reward at iter 155392: 186.8
Reward at iter 155648: 201.8
Reward at iter 155904: 208.6
Reward at iter 156160: 197.8
Reward at iter 156416: 192.0
Reward at iter 156672: 193.6
Reward at iter 156928: 191.0
Reward at iter 157184: 173.6
Reward at iter 157440: 172.4
Reward at iter 157696: 192.2
Reward at iter 157952: 203.2
Reward at iter 158208: 236.0
Reward at iter 158464: 241.4
Reward at iter 158720: 254.6
Reward at iter 158976: 282.0
Reward at iter 159232: 297.2
Reward at iter 159488: 323.4
Reward at iter 159744: 381.6
Reward at iter 160000: 457.8
Reward at iter 160256: 423.4
Reward at iter 160512: 423.2
Reward at iter 160768: 371.2
Reward at iter 161024: 404.2
Reward at iter 161280: 482.0
Reward at iter 161536: 434.2
Reward at iter 161792: 434.2
Reward at iter 162048: 413.8
Reward at iter 162304: 443.4
Reward at iter 162560: 464.4
Reward at iter 162816: 484.4
Reward at iter 163072: 500.0
Reward at iter 163328: 482.0
Reward at iter 163584: 498.0
Reward at iter 163840: 459.2
Reward at iter 164096: 485.8
Reward at iter 164352: 500.0
Reward at iter 164608: 492.2
Reward at iter 164864: 455.2
Reward at iter 165120: 473.8
Reward at iter 165376: 484.2
Reward at iter 165632: 479.4
Reward at iter 165888: 470.8
Reward at iter 166144: 482.6
Reward at iter 166400: 487.4
Reward at iter 166656: 465.2
Reward at iter 166912: 474.6
Reward at iter 167168: 409.2
Reward at iter 167424: 332.4
Reward at iter 167680: 360.0
Reward at iter 167936: 299.6
Reward at iter 168192: 361.4
Reward at iter 168448: 294.4
Reward at iter 168704: 395.4
Reward at iter 168960: 363.6
Reward at iter 169216: 385.0
Reward at iter 169472: 376.8
Reward at iter 169728: 411.0
Reward at iter 169984: 418.0
Reward at iter 170240: 423.6
Reward at iter 170496: 421.8
Reward at iter 170752: 500.0
Reward at iter 171008: 500.0
Reward at iter 171264: 500.0
Reward at iter 171520: 500.0
Reward at iter 171776: 500.0
Reward at iter 172032: 500.0
Reward at iter 172288: 500.0
Reward at iter 172544: 500.0
Reward at iter 172800: 471.0
Reward at iter 173056: 476.6
Reward at iter 173312: 433.4
Reward at iter 173568: 425.2
Reward at iter 173824: 500.0
Reward at iter 174080: 484.8
Reward at iter 174336: 370.2
Reward at iter 174592: 348.2
Reward at iter 174848: 347.2
Reward at iter 175104: 275.0
Reward at iter 175360: 269.8
Reward at iter 175616: 272.8
Reward at iter 175872: 253.0
Reward at iter 176128: 256.2
Reward at iter 176384: 271.6
Reward at iter 176640: 319.6
Reward at iter 176896: 296.0
Reward at iter 177152: 272.4
Reward at iter 177408: 265.6
Reward at iter 177664: 263.8
Reward at iter 177920: 258.6
Reward at iter 178176: 231.8
Reward at iter 178432: 239.2
Reward at iter 178688: 232.0
Reward at iter 178944: 210.8
Reward at iter 179200: 237.4
Reward at iter 179456: 238.6
Reward at iter 179712: 241.0
Reward at iter 179968: 225.8
Reward at iter 180224: 214.8
Reward at iter 180480: 214.8
Reward at iter 180736: 209.8
Reward at iter 180992: 213.8
Reward at iter 181248: 204.8
Reward at iter 181504: 203.2
Reward at iter 181760: 203.6
Reward at iter 182016: 203.0
Reward at iter 182272: 217.0
Reward at iter 182528: 227.2
Reward at iter 182784: 229.6
Reward at iter 183040: 224.8
Reward at iter 183296: 224.4
Reward at iter 183552: 226.8
Reward at iter 183808: 223.8
Reward at iter 184064: 254.2
Reward at iter 184320: 241.4
Reward at iter 184576: 255.6
Reward at iter 184832: 251.2
Reward at iter 185088: 244.8
Reward at iter 185344: 245.0
Reward at iter 185600: 264.4
Reward at iter 185856: 287.0
Reward at iter 186112: 277.0
Reward at iter 186368: 259.0
Reward at iter 186624: 269.2
Reward at iter 186880: 288.0
Reward at iter 187136: 298.4
Reward at iter 187392: 300.2
Reward at iter 187648: 286.6
Reward at iter 187904: 315.2
Reward at iter 188160: 297.4
Reward at iter 188416: 321.8
Reward at iter 188672: 318.8
Reward at iter 188928: 300.2
Reward at iter 189184: 320.0
Reward at iter 189440: 333.4
Reward at iter 189696: 290.0
Reward at iter 189952: 272.8
Reward at iter 190208: 265.2
Reward at iter 190464: 274.2
Reward at iter 190720: 268.4
Reward at iter 190976: 295.0
Reward at iter 191232: 352.4
Reward at iter 191488: 318.2
Reward at iter 191744: 406.8
Reward at iter 192000: 391.4
Reward at iter 192256: 469.6
Reward at iter 192512: 500.0
Reward at iter 192768: 451.0
Reward at iter 193024: 444.8
Reward at iter 193280: 491.8
Reward at iter 193536: 454.8
Reward at iter 193792: 489.8
Reward at iter 194048: 410.0
Reward at iter 194304: 443.6
Reward at iter 194560: 481.4
Reward at iter 194816: 500.0
Reward at iter 195072: 500.0
Reward at iter 195328: 500.0
Reward at iter 195584: 500.0
Reward at iter 195840: 500.0
Reward at iter 196096: 500.0
Reward at iter 196352: 500.0
Reward at iter 196608: 500.0
Reward at iter 196864: 500.0
Reward at iter 197120: 500.0
Reward at iter 197376: 500.0
Reward at iter 197632: 500.0
Reward at iter 197888: 500.0
Reward at iter 198144: 500.0
Reward at iter 198400: 500.0
Reward at iter 198656: 500.0
Reward at iter 198912: 500.0
Reward at iter 199168: 500.0
Reward at iter 199424: 500.0
Reward at iter 199680: 500.0
Reward at iter 199936: 500.0
Reward at iter 200192: 500.0
Reward at iter 200448: 500.0
Reward at iter 200704: 500.0
Reward at iter 200960: 500.0
Reward at iter 201216: 500.0
Reward at iter 201472: 500.0
Reward at iter 201728: 500.0
Reward at iter 201984: 500.0
Reward at iter 202240: 500.0
Reward at iter 202496: 500.0
Reward at iter 202752: 500.0
Reward at iter 203008: 500.0
Reward at iter 203264: 500.0
Reward at iter 203520: 500.0
Reward at iter 203776: 500.0
Reward at iter 204032: 500.0
Reward at iter 204288: 500.0
Reward at iter 204544: 500.0
Reward at iter 204800: 500.0
Reward at iter 205056: 500.0
Reward at iter 205312: 500.0
Reward at iter 205568: 500.0
Reward at iter 205824: 500.0
Reward at iter 206080: 500.0
Reward at iter 206336: 500.0
Reward at iter 206592: 500.0
Reward at iter 206848: 500.0
Reward at iter 207104: 500.0
Reward at iter 207360: 471.2
Reward at iter 207616: 500.0
Reward at iter 207872: 342.4
Reward at iter 208128: 275.6
Reward at iter 208384: 334.2
Reward at iter 208640: 367.2
Reward at iter 208896: 479.4
Reward at iter 209152: 473.0
Reward at iter 209408: 330.0
Reward at iter 209664: 317.2
Reward at iter 209920: 479.0
Reward at iter 210176: 500.0
Reward at iter 210432: 500.0
Reward at iter 210688: 500.0
Reward at iter 210944: 500.0
Reward at iter 211200: 500.0
Reward at iter 211456: 500.0
Reward at iter 211712: 500.0
Reward at iter 211968: 500.0
Reward at iter 212224: 500.0
Reward at iter 212480: 500.0
Reward at iter 212736: 500.0
Reward at iter 212992: 500.0
Reward at iter 213248: 500.0
Reward at iter 213504: 500.0
Reward at iter 213760: 500.0
Reward at iter 214016: 500.0
Reward at iter 214272: 500.0
Reward at iter 214528: 500.0
Reward at iter 214784: 500.0
Reward at iter 215040: 500.0
Reward at iter 215296: 500.0
Reward at iter 215552: 500.0
Reward at iter 215808: 500.0
Reward at iter 216064: 500.0
Reward at iter 216320: 500.0
Reward at iter 216576: 500.0
Reward at iter 216832: 500.0
Reward at iter 217088: 500.0
Reward at iter 217344: 500.0
Reward at iter 217600: 500.0
Reward at iter 217856: 500.0
Reward at iter 218112: 500.0
Reward at iter 218368: 500.0
Reward at iter 218624: 500.0
Reward at iter 218880: 500.0
Reward at iter 219136: 500.0
Reward at iter 219392: 500.0
Reward at iter 219648: 500.0
Reward at iter 219904: 500.0
Reward at iter 220160: 500.0
Reward at iter 220416: 500.0
