No devices were found
Reward at iter 99072: -200.0
Reward at iter 99328: -200.0
Reward at iter 99584: -200.0
Reward at iter 99840: -200.0
Reward at iter 100096: -200.0
Reward at iter 100352: -200.0
Reward at iter 100608: -200.0
Reward at iter 100864: -200.0
Reward at iter 101120: -200.0
Reward at iter 101376: -200.0
Reward at iter 101632: -200.0
Reward at iter 101888: -200.0
Reward at iter 102144: -200.0
Reward at iter 102400: -200.0
Reward at iter 102656: -200.0
Reward at iter 102912: -200.0
Reward at iter 103168: -200.0
Reward at iter 103424: -200.0
Reward at iter 103680: -200.0
Reward at iter 103936: -200.0
Reward at iter 104192: -200.0
Reward at iter 104448: -200.0
Reward at iter 104704: -200.0
Reward at iter 104960: -200.0
Reward at iter 105216: -200.0
Reward at iter 105472: -200.0
Reward at iter 105728: -200.0
Reward at iter 105984: -200.0
Reward at iter 106240: -200.0
Reward at iter 106496: -200.0
Reward at iter 106752: -200.0
Reward at iter 107008: -200.0
Reward at iter 107264: -200.0
Reward at iter 107520: -200.0
Reward at iter 107776: -200.0
Reward at iter 108032: -200.0
Reward at iter 108288: -200.0
Reward at iter 108544: -200.0
Reward at iter 108800: -200.0
Reward at iter 109056: -200.0
Reward at iter 109312: -200.0
Reward at iter 109568: -200.0
Reward at iter 109824: -200.0
Reward at iter 110080: -200.0
Reward at iter 110336: -200.0
Reward at iter 110592: -200.0
Reward at iter 110848: -200.0
Reward at iter 111104: -200.0
Reward at iter 111360: -200.0
Reward at iter 111616: -200.0
Reward at iter 111872: -200.0
Reward at iter 112128: -200.0
Reward at iter 112384: -200.0
Reward at iter 112640: -200.0
Reward at iter 112896: -200.0
Reward at iter 113152: -200.0
Reward at iter 113408: -200.0
Reward at iter 113664: -200.0
Reward at iter 113920: -200.0
Reward at iter 114176: -200.0
Reward at iter 114432: -200.0
Reward at iter 114688: -200.0
Reward at iter 114944: -200.0
Reward at iter 115200: -200.0
Reward at iter 115456: -200.0
Reward at iter 115712: -200.0
Reward at iter 115968: -200.0
Reward at iter 116224: -200.0
Reward at iter 116480: -200.0
Reward at iter 116736: -200.0
Reward at iter 116992: -200.0
Reward at iter 117248: -200.0
Reward at iter 117504: -200.0
Reward at iter 117760: -200.0
Reward at iter 118016: -200.0
Reward at iter 118272: -200.0
Reward at iter 118528: -200.0
Reward at iter 118784: -200.0
Reward at iter 119040: -200.0
Reward at iter 119296: -200.0
Reward at iter 119552: -200.0
Reward at iter 119808: -200.0
Reward at iter 120064: -200.0
Reward at iter 120320: -200.0
Reward at iter 120576: -200.0
Reward at iter 120832: -200.0
Reward at iter 121088: -200.0
Reward at iter 121344: -200.0
Reward at iter 121600: -200.0
Reward at iter 121856: -200.0
Reward at iter 122112: -200.0
Reward at iter 122368: -200.0
Reward at iter 122624: -200.0
Reward at iter 122880: -200.0
Reward at iter 123136: -200.0
Reward at iter 123392: -200.0
Reward at iter 123648: -200.0
Reward at iter 123904: -200.0
Reward at iter 124160: -200.0
Reward at iter 124416: -200.0
Reward at iter 124672: -200.0
Reward at iter 124928: -200.0
Reward at iter 125184: -200.0
