Thu Mar 19 00:43:39 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 595.45.04              Driver Version: 595.45.04      CUDA Version: 13.2     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Setting seed -  9
---------------------------------
Environment created
Box(-0.4, 0.4, (17,), float32) Box(-inf, inf, (348,), float64)
Starting Initial training
avg 3 return on policy: 320.2584595878919
avg 3 return on policy: 322.0849320093791
avg 3 return on policy: 316.30875321229297
avg 3 return on policy: 296.06219061215717
avg 3 return on policy: 297.38606301943463
avg 3 return on policy: 292.2317017714183
avg 3 return on policy: 292.4137625694275
avg 3 return on policy: 299.47096490859985
avg 3 return on policy: 303.0513687133789
avg 3 return on policy: 309.11828370889026
avg 3 return on policy: 293.92822337150574
avg 3 return on policy: 290.2887114683787
avg 3 return on policy: 283.17782692114514
avg 3 return on policy: 287.6397500038147
avg 3 return on policy: 281.62617715199787
avg 3 return on policy: 292.20992573102313
avg 3 return on policy: 291.1620219548543
avg 3 return on policy: 289.00507628917694
avg 3 return on policy: 287.86627805233
avg 3 return on policy: 302.9993417263031
avg 3 return on policy: 299.02475941181183
avg 3 return on policy: 314.5464772383372
avg 3 return on policy: 316.5325442949931
avg 3 return on policy: 316.1446016629537
avg 3 return on policy: 315.11756058533985
avg 3 return on policy: 325.36899864673615
avg 3 return on policy: 311.82778068383533
avg 3 return on policy: 312.449972430865
avg 3 return on policy: 306.52532104651135
avg 3 return on policy: 316.3733438650767
avg 3 return on policy: 317.7313639322917
avg 3 return on policy: 311.1190101703008
avg 3 return on policy: 300.89797298113507
avg 3 return on policy: 299.48290169239044
avg 3 return on policy: 294.07615943749744
avg 3 return on policy: 299.219828804334
avg 3 return on policy: 293.9350536266963
avg 3 return on policy: 300.0786376794179
avg 3 return on policy: 307.3309300343196
avg 3 return on policy: 309.69025897979736
avg 3 return on policy: 300.5988651116689
avg 3 return on policy: 303.53311574459076
avg 3 return on policy: 310.37479960918427
avg 3 return on policy: 298.5787832538287
avg 3 return on policy: 313.72230088710785
avg 3 return on policy: 297.59825174013775
avg 3 return on policy: 325.95359400908154
avg 3 return on policy: 300.8649436036746
avg 3 return on policy: 306.28162201245624
avg 3 return on policy: 310.83246461550397
avg 3 return on policy: 308.2465400497119
avg 3 return on policy: 294.901958545049
avg 3 return on policy: 307.9266893863678
avg 3 return on policy: 305.04793695608777
avg 3 return on policy: 302.5617905855179
avg 3 return on policy: 302.90053486824036
avg 3 return on policy: 275.7625772555669
avg 3 return on policy: 264.3336279789607
avg 3 return on policy: 275.31158987681073
avg 3 return on policy: 259.9173580805461
avg 3 return on policy: 243.34287309646606
avg 3 return on policy: 246.07500167687735
avg 3 return on policy: 240.2765996058782
avg 3 return on policy: 241.98520572980246
avg 3 return on policy: 246.19810191790262
avg 3 return on policy: 243.62119209766388
avg 3 return on policy: 239.61265889803568
avg 3 return on policy: 240.5577950080236
avg 3 return on policy: 243.25553635756174
avg 3 return on policy: 237.84665071964264
avg 3 return on policy: 249.72447751214108
avg 3 return on policy: 241.62878731886545
avg 3 return on policy: 231.7917112906774
avg 3 return on policy: 239.5902762413025
avg 3 return on policy: 231.7706116437912
avg 3 return on policy: 232.81318668524423
avg 3 return on policy: 222.6292825937271
avg 3 return on policy: 226.2523560921351
avg 3 return on policy: 228.04400523503622
avg 3 return on policy: 224.486141761144
avg 3 return on policy: 229.63398257891336
avg 3 return on policy: 237.23649970690408
avg 3 return on policy: 235.66715049743652
avg 3 return on policy: 227.04552137851715
avg 3 return on policy: 222.81627337137857
avg 3 return on policy: 223.45014615853628
avg 3 return on policy: 219.24019320805868
avg 3 return on policy: 221.36323368549347
avg 3 return on policy: 223.57456608613333
avg 3 return on policy: 221.21696718533835
avg 3 return on policy: 214.82598944505057
avg 3 return on policy: 210.49299343427023
avg 3 return on policy: 212.9504584868749
avg 3 return on policy: 215.04066201051077
avg 3 return on policy: 217.354501247406
avg 3 return on policy: 216.90592654546103
avg 3 return on policy: 219.16595685482025
avg 3 return on policy: 221.39577666918436
avg 3 return on policy: 219.62452840805054
avg 3 return on policy: 223.21064023176828
avg 3 return on policy: 217.23355956872305
avg 3 return on policy: 217.25796139240265
avg 3 return on policy: 221.2051572004954
avg 3 return on policy: 221.20085541407266
avg 3 return on policy: 224.86176665623984
avg 3 return on policy: 219.04592768351236
avg 3 return on policy: 219.05446783701578
avg 3 return on policy: 225.40407605965933
avg 3 return on policy: 227.2792500257492
avg 3 return on policy: 231.37248420715332
avg 3 return on policy: 229.8854482571284
avg 3 return on policy: 233.75030807654062
avg 3 return on policy: 228.93984452883402
avg 3 return on policy: 234.96408740679422
avg 3 return on policy: 236.44235388437906
avg 3 return on policy: 237.17807698249817
avg 3 return on policy: 236.65141014258066
avg 3 return on policy: 233.83174880345663
avg 3 return on policy: 235.06716076533
avg 3 return on policy: 232.67942090829214
avg 3 return on policy: 227.59275941054025
avg 3 return on policy: 228.52152649561563
avg 3 return on policy: 226.11213386058807
avg 3 return on policy: 216.2249115308126
avg 3 return on policy: 219.79207833607992
avg 3 return on policy: 222.6825534105301
avg 3 return on policy: 215.9527573188146
avg 3 return on policy: 211.79509528477988
avg 3 return on policy: 214.86462422211966
avg 3 return on policy: 210.0350374778112
avg 3 return on policy: 217.53770180543265
avg 3 return on policy: 217.11560451984406
avg 3 return on policy: 212.53404982884726
avg 3 return on policy: 218.90869816144308
avg 3 return on policy: 218.47814873854318
avg 3 return on policy: 212.85104032357535
avg 3 return on policy: 226.74547290802002
avg 3 return on policy: 228.36276280879974
avg 3 return on policy: 228.846129377683
avg 3 return on policy: 225.58649094899496
avg 3 return on policy: 231.3807289203008
avg 3 return on policy: 234.5442018508911
avg 3 return on policy: 238.4254561662674
avg 3 return on policy: 238.07701468467712
avg 3 return on policy: 238.38794513543448
avg 3 return on policy: 231.23831379413605
avg 3 return on policy: 234.41692670186362
avg 3 return on policy: 240.45853090286255
avg 3 return on policy: 236.62942850589752
avg 3 return on policy: 244.09395535786948
avg 3 return on policy: 267.23632375399274
avg 3 return on policy: 274.8655015230179
avg 3 return on policy: 260.9218785762787
avg 3 return on policy: 263.3141609430313
avg 3 return on policy: 263.3071194489797
avg 3 return on policy: 248.39347783724466
avg 3 return on policy: 248.20873947938284
avg 3 return on policy: 257.7717527151108
avg 3 return on policy: 251.7226726214091
avg 3 return on policy: 249.58103938897452
avg 3 return on policy: 253.5743750333786
avg 3 return on policy: 258.06124599774677
avg 3 return on policy: 260.1650749842326
avg 3 return on policy: 261.71854035059613
avg 3 return on policy: 258.9679652452469
avg 3 return on policy: 245.95127113660178
avg 3 return on policy: 238.5344185034434
avg 3 return on policy: 239.9574107726415
avg 3 return on policy: 234.34655145804086
avg 3 return on policy: 228.26720825831094
avg 3 return on policy: 220.7107698917389
avg 3 return on policy: 224.6752290725708
avg 3 return on policy: 226.85916276772818
avg 3 return on policy: 221.20654237270355
avg 3 return on policy: 227.55163749059042
avg 3 return on policy: 226.07548201084137
avg 3 return on policy: 218.42884373664856
avg 3 return on policy: 221.01458243529
avg 3 return on policy: 212.38870000839233
avg 3 return on policy: 212.35356982549033
avg 3 return on policy: 212.083012342453
avg 3 return on policy: 211.67945424715677
avg 3 return on policy: 215.3356375694275
avg 3 return on policy: 208.20317937930426
avg 3 return on policy: 214.52168913682303
avg 3 return on policy: 207.9452853401502
avg 3 return on policy: 209.88645190000534
avg 3 return on policy: 211.8681230545044
avg 3 return on policy: 212.62799417972565
avg 3 return on policy: 205.61753644545874
avg 3 return on policy: 209.9867245554924
avg 3 return on policy: 216.95990224679312
avg 3 return on policy: 219.01092261075974
avg 3 return on policy: 215.3609979947408
avg 3 return on policy: 213.50971655050913
avg 3 return on policy: 215.51004368066788
avg 3 return on policy: 217.13266974687576
avg 3 return on policy: 215.4263764222463
avg 3 return on policy: 217.6818144917488
avg 3 return on policy: 216.00720491011938
avg 3 return on policy: 216.18582463264465
avg 3 return on policy: 215.96271359920502
avg 3 return on policy: 215.52084803581238
avg 3 return on policy: 215.66780676444372
avg 3 return on policy: 213.7395072976748
avg 3 return on policy: 211.63420321544012
avg 3 return on policy: 213.5490491191546
avg 3 return on policy: 209.11493082841238
avg 3 return on policy: 209.4704821308454
avg 3 return on policy: 209.16153619686762
avg 3 return on policy: 209.14648332198462
avg 3 return on policy: 213.9925495584806
avg 3 return on policy: 209.94494350751242
avg 3 return on policy: 209.75049930810928
avg 3 return on policy: 217.9896703759829
avg 3 return on policy: 224.56927899519602
avg 3 return on policy: 224.5120113492012
avg 3 return on policy: 224.50233443578085
avg 3 return on policy: 217.88516436020532
avg 3 return on policy: 218.2898443142573
avg 3 return on policy: 218.39056980609894
avg 3 return on policy: 224.62304536501566
avg 3 return on policy: 224.3280047972997
avg 3 return on policy: 225.852985282739
avg 3 return on policy: 224.42620956897736
avg 3 return on policy: 220.1029043396314
avg 3 return on policy: 220.05304431915283
avg 3 return on policy: 213.7983437180519
avg 3 return on policy: 215.5899192293485
avg 3 return on policy: 209.76918147007623
avg 3 return on policy: 212.16341090202332
avg 3 return on policy: 218.0739345351855
avg 3 return on policy: 222.6542669336001
avg 3 return on policy: 230.4628372391065
avg 3 return on policy: 229.30817784865698
avg 3 return on policy: 232.34575152397156
avg 3 return on policy: 222.43812376260757
avg 3 return on policy: 220.09093538920084
avg 3 return on policy: 219.65658801794052
avg 3 return on policy: 219.6755534609159
avg 3 return on policy: 213.83772001663843
avg 3 return on policy: 217.23645079135895
avg 3 return on policy: 219.54781810442606
avg 3 return on policy: 225.90936452150345
avg 3 return on policy: 230.8982108036677
avg 3 return on policy: 232.11248513062796
avg 3 return on policy: 216.12939169009528
avg 3 return on policy: 214.17135073741278
avg 3 return on policy: 214.22987272342047
avg 3 return on policy: 213.5843210617701
avg 3 return on policy: 215.96409440040588
avg 3 return on policy: 217.8916578491529
avg 3 return on policy: 226.57690091927847
avg 3 return on policy: 226.71614559491476
avg 3 return on policy: 230.70244123538336
avg 3 return on policy: 211.83259256680807
avg 3 return on policy: 212.1122668584188
avg 3 return on policy: 207.73890272776285
avg 3 return on policy: 212.31776994466782
avg 3 return on policy: 205.87057969967523
avg 3 return on policy: 207.51947116851807
avg 3 return on policy: 205.37547336022058
avg 3 return on policy: 202.82159266869226
avg 3 return on policy: 202.44554102420807
avg 3 return on policy: 199.32882408301035
avg 3 return on policy: 198.69842104117075
avg 3 return on policy: 204.95610425869623
avg 3 return on policy: 204.6383818189303
avg 3 return on policy: 200.28847297032675
avg 3 return on policy: 198.03642964363098
avg 3 return on policy: 195.30101384719214
avg 3 return on policy: 195.25622701644897
avg 3 return on policy: 198.999405225118
avg 3 return on policy: 199.92532501618066
avg 3 return on policy: 201.52008748054504
avg 3 return on policy: 203.77747748295465
avg 3 return on policy: 206.8549963235855
avg 3 return on policy: 211.28379036982855
avg 3 return on policy: 211.69487607479095
avg 3 return on policy: 215.84034804503122
avg 3 return on policy: 217.9235170086225
avg 3 return on policy: 211.46194686492285
avg 3 return on policy: 217.6841125289599
avg 3 return on policy: 211.0961558620135
avg 3 return on policy: 211.3683373530706
avg 3 return on policy: 211.3559920589129
avg 3 return on policy: 211.6718627413114
avg 3 return on policy: 211.71567304929098
avg 3 return on policy: 211.90844961007437
avg 3 return on policy: 211.88031593958536
avg 3 return on policy: 211.65638399124146
avg 3 return on policy: 211.18512139717737
avg 3 return on policy: 211.42071012655893
avg 3 return on policy: 216.01679380734763
avg 3 return on policy: 218.2023974855741
avg 3 return on policy: 220.1751530567805
avg 3 return on policy: 218.50642128785452
avg 3 return on policy: 218.56676723559698
avg 3 return on policy: 220.57891881465912
avg 3 return on policy: 218.5265377163887
avg 3 return on policy: 218.46536787350973
avg 3 return on policy: 224.68778616189957
avg 3 return on policy: 222.5755597949028
avg 3 return on policy: 224.48267738024393
avg 3 return on policy: 226.4998804529508
avg 3 return on policy: 229.14509650071463
avg 3 return on policy: 229.24669245878854
avg 3 return on policy: 229.20452539126077
avg 3 return on policy: 230.8306533296903
avg 3 return on policy: 235.0665510892868
avg 3 return on policy: 237.02349988619486
avg 3 return on policy: 237.0734246969223
avg 3 return on policy: 235.01874629656473
avg 3 return on policy: 234.46560287475586
avg 3 return on policy: 236.81617641448975
avg 3 return on policy: 238.99004904429117
avg 3 return on policy: 235.75847085316977
avg 3 return on policy: 238.2421966791153
avg 3 return on policy: 243.4711412191391
avg 3 return on policy: 237.6816736459732
avg 3 return on policy: 238.2739884853363
avg 3 return on policy: 237.8584421078364
avg 3 return on policy: 244.6508136590322
