No devices were found
Environment created
Box(-1.0, 1.0, (8,), float32) Box(-inf, inf, (105,), float64)
Loading Initial saved model
Model loaded
Starting evaluation
5000
---------------------------------
Searching empty space policies
(10, 11472)
(210, 11472)
(210, 11472)
avg return on 5 trajectories of agent59: 1004.7431608
avg return on 5 trajectories of agent60: 1151.766052
avg return on 5 trajectories of agent61: 1059.8394136000002
avg return on 5 trajectories of agent62: 902.8238238
avg return on 5 trajectories of agent63: 1197.8550846
avg return on 5 trajectories of agent64: 1366.2409448
avg return on 5 trajectories of agent65: 1324.7896784
avg return on 5 trajectories of agent66: 1161.268826
avg return on 5 trajectories of agent67: 1272.181802
avg return on 5 trajectories of agent68: 1250.5145318
avg return on 5 trajectories of agent69: 1178.3160806
avg return on 5 trajectories of agent70: 985.5046816
avg return on 5 trajectories of agent71: 974.4312173999999
avg return on 5 trajectories of agent72: 799.1193192000001
avg return on 5 trajectories of agent73: 756.7469842
avg return on 5 trajectories of agent74: 935.7153003999999
avg return on 5 trajectories of agent75: 859.8385581999999
avg return on 5 trajectories of agent76: 883.3715838
avg return on 5 trajectories of agent77: 851.7838126
avg return on 5 trajectories of agent78: 884.0797473999999
avg return on 5 trajectories of agent79: 810.9401922
avg return on 5 trajectories of agent80: 799.6958552
avg return on 5 trajectories of agent81: 587.587995
avg return on 5 trajectories of agent82: 498.45443859999995
avg return on 5 trajectories of agent83: 844.9500958000001
avg return on 5 trajectories of agent84: 1260.736367
avg return on 5 trajectories of agent85: 1330.5264750000001
avg return on 5 trajectories of agent86: 1248.6070234
avg return on 5 trajectories of agent87: 1304.9415382
avg return on 5 trajectories of agent88: 1312.0619523999999
avg return on 5 trajectories of agent89: 1301.406148
avg return on 5 trajectories of agent90: 1196.9320164
avg return on 5 trajectories of agent91: 1148.228851
avg return on 5 trajectories of agent92: 1212.354048
avg return on 5 trajectories of agent93: 1187.5804721999998
avg return on 5 trajectories of agent94: 1156.8563795999999
avg return on 5 trajectories of agent95: 1140.7474435999998
avg return on 5 trajectories of agent96: 1125.6187532
avg return on 5 trajectories of agent97: 1107.7917988000002
avg return on 5 trajectories of agent98: 1054.1472600000002
avg return on 5 trajectories of agent99: 1049.6981842
avg return on 5 trajectories of agent100: 1056.8821878
avg return on 5 trajectories of agent101: 1165.6869081999998
